Block,Question,Small - Medium,Medium - Large,Small - Large
chain,1,0.6983523535152193,0.6851253202373375,0.43647668880145474
chain,2,0.933321988291397,0.5223283682729584,0.5892821927531793
chain,3,0.09027052827266237,0.07709025770862231,0.9616361486740966
chain,4,0.05178377970272851,0.7146593474957768,0.11370814172305653
chain,5,0.8444503732736846,0.5223283682729584,0.4144340931933598
CC,1,0.3609794872434987,0.8803271318028273,0.29310315856380553
CC,2,0.5238203373137862,0.489613654249508,0.19338001038307928
CC,3,0.9117242548124747,0.22233892575223835,0.194102732638196
CC,4,0.5064574712477684,0.9023495901694862,0.5892821927531791
CC,5,0.22150897982481044,0.9023495901694859,0.273590277240776
CC,6,0.48729551749399214,0.23186046277468042,0.06562087301738816
CC,7,0.5238203373137865,0.522328368272958,0.9924429351198145
CE,1,0.6776004804244087,0.23186046277468042,0.11621846944929085
CE,2,0.37394427168412847,0.2473430236211075,0.805115186181299
CE,3,0.16364660074602633,0.09223080127089148,0.7909837998922132
CE,4,0.3460168848141395,0.5171282864747441,0.7595786764088646
CE,5,0.38489957003895303,0.712952050775238,0.6138575740449944
CE,6,0.8444503732736843,0.3672494607128709,0.2844926106936533
CE,7,0.16173151308374512,0.012935876306448359,0.2844926106936533
chain,small - large,0.14786311447342135,0.6180070240979315,0.3416837319921413
CC,small - large,0.9327607212239137,0.5749825644915196,0.6438257489819619
CE,small - large,0.03265969120665786,0.02227946304812885,0.9138631212475501
small,chain - CE,0.895468291051542,0.6074670232498545,0.548428841598037
medium,chain - CE,0.16495485743982174,0.008167885039639314,0.30222808631041576
large,chain - CE,0.1804227498083919,0.3719011861953987,0.5995835758909285
chain cause to effect,small - large,0.12741607635317093,0.37688224929068126,0.5137400252187085
CC  cause to effect,small - large,0.48943061989951686,0.7105963133647546,0.7454958689822874
CE  cause to effect,small - large,0.06349358683038599,0.04412374870621122,0.9034820241499101
small cause to effect,chain - CE,0.7692202988327529,1.0,0.7692202988327529
medium cause to effect,chain - CE,0.31665572328723857,0.23015235821933933,0.776441797883567
large cause to effect,chain - CE,0.5712263305454823,0.6498072237486898,0.2932642351386824
CC  effect to cause,small - large,0.33440545581985504,0.23308241449850176,0.03460926357029037
CE  effect to cause,small - large,0.6328000188636294,0.36737060321797255,0.6858888759472317
small effect to cause,chain - CE,0.6737484239100029,,
medium effect to cause,chain - CE,0.06280076492827112,,
large effect to cause,chain - CE,0.055329395179511145,,
chain Dseparation,small - large,0.8444503732736846,0.5223283682729584,0.4144340931933598
CC  Dseparation,small - large,0.48729551749399214,0.23186046277468042,0.06562087301738816
CE  Dseparation,small - large,0.6776004804244087,0.23186046277468042,0.11621846944929085
small Dseparation,chain - CE,1.0,0.7851282249093992,0.7851282249093992
medium Dseparation,chain - CE,0.607798739640055,1.0,0.607798739640055
large Dseparation,chain - CE,0.29042566770332057,1.0,0.29042566770332057
