Block,Question,Small - Medium All,Medium - Large All,Small - Large All,Small - Medium Correct,Medium - Large Correct,Small - Large Correct,,,
chain,1,0.17685940439958558,0.07607151678627257,0.05401919457293987,0.2826452015163323,0.5643782765381142,0.4639210091778725,,,
chain,2,0.0009386528071525224,0.927515026089144,0.1062816914050986,0.7482230179909237,0.023662213507303628,0.04024278524556949,,,
chain,3,4.5983544597590204e-07,0.010171249900149238,1.544821497746312e-07,0.08753168887712146,0.3489716531497421,0.013823023820376656,,,
chain,4,0.002456817360902485,0.8437449862668139,0.005728244083118056,0.35635595702904566,0.7781953973603357,0.3117289962483303,,,
chain,5,0.8167394987152159,0.22805822494226835,0.17612683093632875,1.0,1.0,1.0,,,
CC,1,0.00016208845532702485,0.015919678966373856,8.028411155218901e-05,0.32996897329153774,0.8228483767776402,0.40016076924856736,,,
CC,2,0.000556167795071913,0.003967017823944653,2.0895647164267328e-05,0.16090518968884493,0.4010655312617706,0.13961601163505652,,,
CC,3,0.5122961777297365,0.1585212699300632,0.052006502360744694,0.5059681189012846,0.4836862807485387,0.8064959405073401,,,
CC,4,0.0279818935895287,0.008715435301745542,0.799373393443112,0.6259392816271419,0.0005839169374088534,0.0009064493032684967,,,
CC,5,0.02631621511147404,0.006349724430444605,0.00031918890155748224,0.030515468558537658,0.43473747091540726,0.04292853120248995,,,
CC,6,0.7012967034743587,0.28170404871021004,0.12523952865094137,1.0,1.0,1.0,,,
CC,7,0.4869163205608915,0.0005779318332171739,0.00022479039996992263,0.7709312845483819,0.1467636170918587,0.0771336684412056,,,
CE,1,0.6660925152232606,0.2339623201094143,0.07257339893924868,1.0,1.0,1.0,,,
CE,2,0.09177411159552243,0.0003561076281230583,0.0023524704482456053,0.6807238293409504,0.0511998362745388,0.24443398503429636,,,
CE,3,0.09332337155183495,0.8437449862668139,0.5715931029493269,0.27053213743164606,0.788446734264471,0.06209084901828997,,,
CE,4,0.018805200603155943,3.052160646673708e-05,0.0016890012106649673,0.6474726446409527,0.006075912000151653,0.3460785054467893,,,
CE,5,0.002150894381994442,0.02483431818869987,0.00012878565783349218,0.0019377874312873891,0.42365593666732415,0.019341041195472017,,,
CE,6,4.856723014272344e-06,0.004578457976438842,1.764856949285466e-07,0.018954220545510984,0.3804551252503885,0.03821437969666879,,,
CE,7,0.0007456344760489923,0.3550285322859894,0.0013474751595625332,0.38957768675656257,0.28504940740261275,0.6216849323610446,,,
chain,small - large all,30.074074074074073,27.03795829018779,13.646666666666667,10.38953181643202,16.041379310344826,16.817061385386175,2.5011582747137477e-05,0.797434501722212,0.000337428123747625
CC,small - large all,23.559365079365076,17.705835665565413,16.75845238095238,12.56412164605851,13.824039408866998,14.431678076968428,0.00018614031972172618,0.002399850148732719,7.942134357793507e-09
CE,small - large all,23.39650793650793,21.677406673332808,14.557142857142857,14.241427251890231,9.654187192118226,11.005562036850451,0.0003359898400134275,0.0005486323498848972,4.650869322423658e-10
small,chain - CE all,30.074074074074073,27.03795829018779,23.559365079365076,17.705835665565413,23.39650793650793,21.677406673332808,0.2401186185009595,0.4249280375411143,0.10894699894855187
medium,chain - CE all,13.646666666666667,10.38953181643202,16.75845238095238,12.56412164605851,14.557142857142857,14.241427251890231,0.029883244264999952,0.016494420966114774,0.6201381864852745
large,chain - CE all,16.041379310344826,16.817061385386175,13.824039408866998,14.431678076968428,9.654187192118226,11.005562036850451,0.697610469402455,0.00031721900020299294,0.002529758532785139
chain,small - large right,16.422535211267604,21.28424096558027,8.886363636363637,9.026420814878549,12.938235294117648,16.864278501514566,0.5322185507756416,0.7860270192227863,0.9546389963466462
CC,small - large right,13.878571428571428,12.692665712394616,10.903703703703703,10.35211772028147,14.061818181818184,17.120308139526195,0.15441692770900228,0.8433718359314248,0.6769948401871057
CE,small - large right,14.542043010752689,15.658140441479203,9.43456790123457,10.32472954238787,7.856435643564354,9.830100872743719,0.12461283143395706,0.4387429120628804,0.01385310419283731
small,chain - CE right,16.422535211267604,21.28424096558027,13.878571428571428,12.692665712394616,14.542043010752689,15.658140441479203,0.4361219738839087,0.8309963198788451,0.5068469431456641
medium,chain - CE right,8.886363636363637,9.026420814878549,10.903703703703703,10.35211772028147,9.43456790123457,10.32472954238787,0.229411791880055,0.23870605391192867,0.8608832691379124
large,chain - CE right,12.938235294117648,16.864278501514566,14.061818181818184,17.120308139526195,7.856435643564354,9.830100872743719,0.20862020606621723,0.009072848760862774,0.6102340954017818
