Block,Question,Cohort,Best_Estimate_Min,BestEstimate_Max,BestEstimate_Mean,BestEstimate_Std,Within_Range_All,Within_Range_Right,Width_All,Width_right,Cond1_Sum_Increased,Cond1_Sum_Decreased,Cond1_Sum_Same,Cond1_Perc_Increased,Cond1_Perc_ Decreased,Cond1_Perc_Same,Cond2_Sum,Cond2_Perc,Cond3_Sum,Cond3_Perc,Cond4_Min,Cond4_Max,Cond4_Mean,Cond4_Std
Chain,1,small,10.0,37.0,20.1,10.6,23,12,39.22,21.15,4,13,10,14.81,48.15,37.04,0,0.0,0,0.0,2.6,73.7,47.2,27.8
Chain,1,medium,9.0,40.0,26.6,13.2,29,15,45.0,36.69,3,16,11,10.0,53.33,36.67,0,0.0,0,0.0,1.0,77.7,34.3,32.8
Chain,1,large,5.0,43.0,29.3,13.1,26,15,38.28,30.76,8,17,4,27.59,58.62,13.79,0,0.0,0,0.0,0.2,88.4,32.0,30.5
Chain,2,small,3.0,38.0,20.8,12.5,21,14,32.59,23.87,7,15,5,25.93,55.56,18.52,0,0.0,0,0.0,5.9,92.6,48.5,30.9
Chain,2,medium,1.2,43.0,25.3,11.9,30,17,36.88,30.32,4,17,9,13.33,56.67,30.0,0,0.0,0,0.0,0.2,97.2,41.2,27.5
Chain,2,large,2.0,60.0,26.4,21.6,26,12,38.68,26.5,8,14,7,27.59,48.28,24.14,0,0.0,0,0.0,2.9,96.8,57.2,35.0
Chain,3,small,20.0,90.0,44.3,29.2,24,10,37.0,47.45,11,6,10,40.74,22.22,37.04,0,0.0,0,0.0,11.1,400.0,146.0,162.4
Chain,3,medium,40.0,56.0,44.8,7.5,27,6,33.38,31.73,6,10,14,20.0,33.33,46.67,0,0.0,0,0.0,3.6,45.1,16.1,19.6
Chain,3,large,61.8,100.0,76.0,11.9,27,11,38.29,34.58,12,11,6,41.38,37.93,20.69,0,0.0,0,0.0,1.0,63.4,24.2,19.5
Chain,4,small,41.0,90.0,67.6,20.6,22,13,34.31,35.85,16,6,5,59.26,22.22,18.52,2,7.41,0,0.0,1.5,122.8,67.4,50.9
Chain,4,medium,43.2,65.0,50.1,6.0,29,10,38.37,35.19,10,9,11,33.33,30.0,36.67,6,20.0,0,0.0,0.2,50.8,16.3,13.9
Chain,4,large,62.0,95.0,75.7,9.1,29,11,37.16,29.47,11,12,6,37.93,41.38,20.69,16,55.17,0,0.0,0.3,53.7,22.5,14.7
Chain,5,small,90.0,90.0,90.0,0.0,26,15,35.93,34.75,3,8,16,11.11,29.63,59.26,0,0.0,0,0.0,0.0,0.0,0.0,0.0
Chain,5,medium,55.0,55.0,55.0,0.0,29,17,32.59,34.24,6,7,17,20.0,23.33,56.67,0,0.0,0,0.0,0.0,0.0,0.0,0.0
Chain,5,large,70.0,70.0,70.0,0.0,28,14,30.79,31.93,3,12,14,10.34,41.38,48.28,0,0.0,0,0.0,0.0,0.0,0.0,0.0
