Block,Question,Cohort,BestEstimate_Mean,BestEstimate_Std,Range_All_Mean,Range_All_Std,Range_Correct_Mean,Range_Correct_Std,Cond1_Increased_Count,Cond1_Increased_Perc,Cond1_Decreased_Count,Cond1_Decreased_Perc,Cond1_The_Same_Count,Cond1_The_Same_Perc,Distance_All_Mean,Distance_All_Std,Distance_Correct_Mean,Distance_Correct_Std,AnsInRange_All_Count,AnsInRange_All_Perc,AnsInRange_Correct_Count,AnsInRange_Correct_Perc,readCPT_count,readCPT_perc,Cond2_Count,Cond2_Perc,Cond3_Count,Cond3_Perc
Chain,1,small,33.0,18.3,39.22,30.05,21.15,17.57,4,14.81,13,48.15,10,37.04,23.0,18.25,10.08,10.56,18,66.67,10,37.04,5,18.52,0,0.0,0,0.0
Chain,1,medium,34.5,13.7,45.0,27.18,36.69,25.06,3,10.0,16,53.33,11,36.67,18.88,9.98,13.06,8.46,19,63.33,11,36.67,0,0.0,0,0.0,0,0.0
Chain,1,large,39.8,17.6,38.28,23.75,30.76,20.83,8,27.59,17,58.62,4,13.79,13.57,10.91,11.87,10.73,16,55.17,10,34.48,0,0.0,0,0.0,0,0.0
Chain,2,small,36.9,25.8,32.59,31.73,23.87,27.57,7,25.93,15,55.56,5,18.52,23.81,21.17,11.6,4.5,12,44.44,5,18.52,0,0.0,0,0.0,0,0.0
Chain,2,medium,34.0,13.6,36.88,23.8,30.32,20.07,4,13.33,17,56.67,9,30.0,11.09,8.97,14.45,10.27,21,70.0,11,36.67,0,0.0,0,0.0,0,0.0
Chain,2,large,47.9,26.9,38.68,29.28,26.5,22.21,8,27.59,14,48.28,7,24.14,20.29,21.91,34.77,21.64,17,58.62,4,13.79,0,0.0,0,0.0,0,0.0
Chain,3,small,27.5,23.2,37.0,35.44,47.45,33.27,11,40.74,6,22.22,10,37.04,62.52,23.18,45.73,29.24,9,33.33,5,18.52,2,7.41,0,0.0,0,0.0
Chain,3,medium,37.1,8.1,33.38,24.45,31.73,30.14,6,20.0,10,33.33,14,46.67,17.98,7.95,10.5,6.98,15,50.0,4,13.33,0,0.0,0,0.0,0,0.0
Chain,3,large,61.0,18.6,38.29,30.27,34.58,29.27,12,41.38,11,37.93,6,20.69,15.24,13.76,9.02,9.65,17,58.62,11,37.93,0,0.0,0,0.0,0,0.0
Chain,4,small,55.3,22.0,34.31,32.72,35.85,33.41,16,59.26,6,22.22,5,18.52,34.7,22.0,22.38,20.56,12,44.44,10,37.04,6,22.22,2,7.41,0,0.0
