Participant_ID,Cohort_Type,Duration_Minutes,Data_In_Future_Research,Future_Experiments_Participation,Experience,APIs,Years,Used_BN_in_research?,Last_year,Eval_Correct,Chain_Q1_InitValue,Chain_Q1_CorrectAnswer,Chain_Q1_CorrectDirection,Chain_Q1_P_BestEstimate,Chain_Q1_Cond1_P_Increased,Chain_Q1_Cond1_P_Decreased,Chain_Q1_Cond1_P_The_Same,Chain_Q1_Cond2_P,Chain_Q1_Cond3_P,Chain_Q1_Cond4_CorrectPerc,Chain_Q1_Cond4_P,Chain_Q2_InitValue,Chain_Q2_CorrectAnswer,Chain_Q2_CorrectDirection,Chain_Q2_P_BestEstimate,Chain_Q2_Cond1_P_Increased,Chain_Q2_Cond1_P_Decreased,Chain_Q2_Cond1_P_The_Same,Chain_Q2_Cond2_P,Chain_Q2_Cond3_P,Chain_Q2_Cond4_CorrectPerc,Chain_Q2_Cond4_P,Chain_Q3_InitValue,Chain_Q3_CorrectAnswer,Chain_Q3_CorrectDirection,Chain_Q3_P_BestEstimate,Chain_Q3_Cond1_P_Increased,Chain_Q3_Cond1_P_Decreased,Chain_Q3_Cond1_P_The_Same,Chain_Q3_Cond2_P,Chain_Q3_Cond3_P,Chain_Q3_Cond4_CorrectPerc,Chain_Q3_Cond4_P,Chain_Q4_InitValue,Chain_Q4_CorrectAnswer,Chain_Q4_CorrectDirection,Chain_Q4_P_BestEstimate,Chain_Q4_Cond1_P_Increased,Chain_Q4_Cond1_P_Decreased,Chain_Q4_Cond1_P_The_Same,Chain_Q4_Cond2_P,Chain_Q4_Cond3_P,Chain_Q4_Cond4_CorrectPerc,Chain_Q4_Cond4_P,Chain_Q5_InitValue,Chain_Q5_CorrectAnswer,Chain_Q5_CorrectDirection,Chain_Q5_P_BestEstimate,Chain_Q5_Cond1_P_Increased,Chain_Q5_Cond1_P_Decreased,Chain_Q5_Cond1_P_The_Same,Chain_Q5_Cond2_P,Chain_Q5_Cond3_P,Chain_Q5_Cond4_CorrectPerc,Chain_Q5_Cond4_P,CC_Q1_InitValue,CC_Q1_CorrectAnswer,CC_Q1_CorrectDirection,CC_Q1_P_BestEstimate,CC_Q1_Cond1_P_Increased,CC_Q1_Cond1_P_Decreased,CC_Q1_Cond1_P_The_Same,CC_Q1_Cond2_P,CC_Q1_Cond3_P,CC_Q1_Cond4_CorrectPerc,CC_Q1_Cond4_P,CC_Q2_InitValue,CC_Q2_CorrectAnswer,CC_Q2_CorrectDirection,CC_Q2_P_BestEstimate,CC_Q2_Cond1_P_Increased,CC_Q2_Cond1_P_Decreased,CC_Q2_Cond1_P_The_Same,CC_Q2_Cond2_P,CC_Q2_Cond3_P,CC_Q2_Cond4_CorrectPerc,CC_Q2_Cond4_P,CC_Q3_InitValue,CC_Q3_CorrectAnswer,CC_Q3_CorrectDirection,CC_Q3_P_BestEstimate,CC_Q3_Cond1_P_Increased,CC_Q3_Cond1_P_Decreased,CC_Q3_Cond1_P_The_Same,CC_Q3_Cond2_P,CC_Q3_Cond3_P,CC_Q3_Cond4_CorrectPerc,CC_Q3_Cond4_P,CC_Q4_InitValue,CC_Q4_CorrectAnswer,CC_Q4_CorrectDirection,CC_Q4_P_BestEstimate,CC_Q4_Cond1_P_Increased,CC_Q4_Cond1_P_Decreased,CC_Q4_Cond1_P_The_Same,CC_Q4_Cond2_P,CC_Q4_Cond3_P,CC_Q4_Cond4_CorrectPerc,CC_Q4_Cond4_P,CC_Q5_InitValue,CC_Q5_CorrectAnswer,CC_Q5_CorrectDirection,CC_Q5_P_BestEstimate,CC_Q5_Cond1_P_Increased,CC_Q5_Cond1_P_Decreased,CC_Q5_Cond1_P_The_Same,CC_Q5_Cond2_P,CC_Q5_Cond3_P,CC_Q5_Cond4_CorrectPerc,CC_Q5_Cond4_P,CC_Q6_InitValue,CC_Q6_CorrectAnswer,CC_Q6_CorrectDirection,CC_Q6_P_BestEstimate,CC_Q6_Cond1_P_Increased,CC_Q6_Cond1_P_Decreased,CC_Q6_Cond1_P_The_Same,CC_Q6_Cond2_P,CC_Q6_Cond3_P,CC_Q6_Cond4_CorrectPerc,CC_Q6_Cond4_P,CC_Q7_InitValue,CC_Q7_CorrectAnswer,CC_Q7_CorrectDirection,CC_Q7_P_BestEstimate,CC_Q7_Cond1_P_Increased,CC_Q7_Cond1_P_Decreased,CC_Q7_Cond1_P_The_Same,CC_Q7_Cond2_P,CC_Q7_Cond3_P,CC_Q7_Cond4_CorrectPerc,CC_Q7_Cond4_P,CE_Q1_InitValue,CE_Q1_CorrectAnswer,CE_Q1_CorrectDirection,CE_Q1_P_BestEstimate,CE_Q1_Cond1_P_Increased,CE_Q1_Cond1_P_Decreased,CE_Q1_Cond1_P_The_Same,CE_Q1_Cond2_P,CE_Q1_Cond3_P,CE_Q1_Cond4_CorrectPerc,CE_Q1_Cond4_P,CE_Q2_InitValue,CE_Q2_CorrectAnswer,CE_Q2_CorrectDirection,CE_Q2_P_BestEstimate,CE_Q2_Cond1_P_Increased,CE_Q2_Cond1_P_Decreased,CE_Q2_Cond1_P_The_Same,CE_Q2_Cond2_P,CE_Q2_Cond3_P,CE_Q2_Cond4_CorrectPerc,CE_Q2_Cond4_P,CE_Q3_InitValue,CE_Q3_CorrectAnswer,CE_Q3_CorrectDirection,CE_Q3_P_BestEstimate,CE_Q3_Cond1_P_Increased,CE_Q3_Cond1_P_Decreased,CE_Q3_Cond1_P_The_Same,CE_Q3_Cond2_P,CE_Q3_Cond3_P,CE_Q3_Cond4_CorrectPerc,CE_Q3_Cond4_P,CE_Q4_InitValue,CE_Q4_CorrectAnswer,CE_Q4_CorrectDirection,CE_Q4_P_BestEstimate,CE_Q4_Cond1_P_Increased,CE_Q4_Cond1_P_Decreased,CE_Q4_Cond1_P_The_Same,CE_Q4_Cond2_P,CE_Q4_Cond3_P,CE_Q4_Cond4_CorrectPerc,CE_Q4_Cond4_P,CE_Q5_InitValue,CE_Q5_CorrectAnswer,CE_Q5_CorrectDirection,CE_Q5_P_BestEstimate,CE_Q5_Cond1_P_Increased,CE_Q5_Cond1_P_Decreased,CE_Q5_Cond1_P_The_Same,CE_Q5_Cond2_P,CE_Q5_Cond3_P,CE_Q5_Cond4_CorrectPerc,CE_Q5_Cond4_P,CE_Q6_InitValue,CE_Q6_CorrectAnswer,CE_Q6_CorrectDirection,CE_Q6_P_BestEstimate,CE_Q6_Cond1_P_Increased,CE_Q6_Cond1_P_Decreased,CE_Q6_Cond1_P_The_Same,CE_Q6_Cond2_P,CE_Q6_Cond3_P,CE_Q6_Cond4_CorrectPerc,CE_Q6_Cond4_P,CE_Q7_InitValue,CE_Q7_CorrectAnswer,CE_Q7_CorrectDirection,CE_Q7_P_BestEstimate,CE_Q7_Cond1_P_Increased,CE_Q7_Cond1_P_Decreased,CE_Q7_Cond1_P_The_Same,CE_Q7_Cond2_P,CE_Q7_Cond3_P,CE_Q7_Cond4_CorrectPerc,CE_Q7_Cond4_P,avg_task_load
94498830,hard,35.13333333333333,Yes,No,FIT5047 Fundamentals of Artificial Intelligence 2020,Neither,1.0,Yes,Yes,6,43.1,38.6,Decreased,70.0,True,False,False,N/A,N/A,10.4,62.41299303944315,61.8,61.2,Decreased,80.0,True,False,False,N/A,N/A,1,29.44983818770227,61.2,70,Increased,55.0,False,True,False,N/A,N/A,14.4,10.13071895424837,61.8,70,Increased,55.0,False,True,False,True,N/A,13.3,11.003236245954689,70,70,Remained the Same,40.0,False,True,False,N/A,N/A,0,42.857142857142854,17,23.2,Increased,60.0,True,False,False,N/A,N/A,36.5,252.94117647058823,17,24.6,Increased,70.0,True,False,False,N/A,True,44.7,311.7647058823529,24.6,32.5,Increased,40.0,True,False,False,N/A,N/A,32.1,62.60162601626015,24,21.8,Decreased,5.0,False,True,False,N/A,N/A,9.2,79.16666666666666,24,34.7,Increased,5.0,False,True,False,N/A,N/A,44.6,79.16666666666666,34.7,34.7,Remained the Same,10.0,False,True,False,N/A,N/A,0,71.18155619596543,24.8,34.7,Increased,10.0,False,True,False,True,N/A,39.9,59.67741935483871,20,20,Remained the Same,50.0,True,False,False,N/A,N/A,0,150.0,46.1,54.5,Increased,30.0,False,True,False,N/A,N/A,18.2,34.924078091106296,46.1,46.4,Increased,70.0,True,False,False,N/A,False,0.7,51.84381778741866,46.4,54.8,Increased,50.0,True,False,False,N/A,False,18.1,7.758620689655175,20,16.9,Decreased,20.0,False,False,True,N/A,N/A,15.5,0.0,20,23.6,Increased,20.0,False,False,True,N/A,N/A,18,0.0,23.6,23.7,Increased,25.0,True,False,False,N/A,N/A,0.4,5.932203389830502,10.2
70248274,medium,59.31666666666667,Yes,Yes,FIT5047 Fundamentals of Artificial Intelligence 2020,Netica,0.5,No,Yes,7,40.4,18,Decreased,20.0,False,True,False,N/A,N/A,55.4,50.495049504950494,43.1,38.6,Decreased,23.0,False,True,False,N/A,N/A,10.4,46.635730858468676,38.6,55,Increased,40.0,True,False,False,N/A,N/A,42.5,3.626943005181343,43.1,55,Increased,40.0,False,True,False,True,N/A,27.6,7.192575406032485,55,55,Remained the Same,55.0,False,False,True,N/A,N/A,0,0.0,17,33.3,Increased,90.0,True,False,False,N/A,N/A,95.9,429.4117647058823,17,40,Increased,52.0,True,False,False,N/A,False,135.3,205.88235294117646,40,61.9,Increased,87.0,True,False,False,N/A,N/A,54.8,117.5,22.1,16,Decreased,16.0,False,True,False,N/A,N/A,27.6,27.60180995475114,22.1,52,Increased,49.0,True,False,False,N/A,N/A,135.3,121.71945701357465,52,52,Remained the Same,52.0,False,False,True,N/A,N/A,0,0.0,28,52,Increased,52.0,True,False,False,True,N/A,85.7,85.71428571428571,20,20,Remained the Same,21.0,True,False,False,N/A,N/A,0,5.0,37,65,Increased,65.0,True,False,False,N/A,N/A,75.7,75.67567567567568,37,38,Increased,39.0,True,False,False,N/A,False,2.7,5.405405405405405,38,66,Increased,70.0,True,False,False,N/A,True,73.7,84.21052631578947,20,11.1,Decreased,12.0,False,True,False,N/A,N/A,44.5,40.0,20,35.1,Increased,48.0,True,False,False,N/A,N/A,75.5,140.0,35.1,37,Increased,35.1,False,False,True,N/A,N/A,5.4,0.0,12.0
20130104,simple,39.4,Yes,Yes,FIT5047 Fundamentals of Artificial Intelligence 2020,Netica,1.0,Yes,Yes,7,38,10,Decreased,22.0,False,True,False,N/A,N/A,73.7,42.10526315789473,40.4,18,Decreased,30.0,False,True,False,N/A,N/A,55.4,25.742574257425737,18,90,Increased,15.0,False,True,False,N/A,N/A,400,16.666666666666664,40.4,90,Increased,32.0,False,True,False,False,N/A,122.8,20.79207920792079,90,90,Remained the Same,75.0,False,True,False,N/A,N/A,0,16.666666666666664,20,52.9,Increased,10.0,False,True,False,N/A,N/A,164.5,50.0,20,63.6,Increased,15.0,False,True,False,N/A,False,218,25.0,63.6,88.7,Increased,54.0,False,True,False,N/A,N/A,39.5,15.094339622641511,22,10,Decreased,10.0,False,True,False,N/A,N/A,54.5,54.54545454545454,22,70,Increased,15.0,False,True,False,N/A,N/A,218.2,31.818181818181817,70,70,Remained the Same,55.0,False,True,False,N/A,N/A,0,21.428571428571427,41.8,70,Increased,30.0,False,True,False,False,N/A,67.5,28.22966507177033,20,20,Remained the Same,15.0,False,True,False,N/A,N/A,0,25.0,32,88,Increased,18.0,False,True,False,N/A,N/A,175,43.75,32,34,Increased,20.0,False,True,False,N/A,False,6.3,37.5,34,90,Increased,20.0,False,True,False,N/A,False,164.7,41.17647058823529,20,3.53,Decreased,18.0,False,True,False,N/A,N/A,82.4,10.0,20,55,Increased,12.0,False,True,False,N/A,N/A,175,40.0,55,66.7,Increased,35.0,False,True,False,N/A,N/A,21.3,36.36363636363637,13.2
3537124,hard,62.916666666666664,Yes,Yes,FIT5047 Fundamentals of Artificial Intelligence 2020,Netica,1.0,No,Yes,8,43.1,38.6,Decreased,25.0,False,True,False,N/A,N/A,10.4,41.9953596287703,61.8,61.2,Decreased,55.0,False,True,False,N/A,N/A,1,11.003236245954689,61.2,70,Increased,68.0,True,False,False,N/A,N/A,14.4,11.111111111111107,61.8,70,Increased,68.0,True,False,False,True,N/A,13.3,10.032362459546931,70,70,Remained the Same,70.0,False,False,True,N/A,N/A,0,0.0,17,23.2,Increased,17.0,False,False,True,N/A,N/A,36.5,0.0,17,24.6,Increased,17.0,False,False,True,N/A,False,44.7,0.0,24.6,32.5,Increased,33.0,True,False,False,N/A,N/A,32.1,34.14634146341463,24,21.8,Decreased,19.0,False,True,False,N/A,N/A,9.2,20.833333333333336,24,34.7,Increased,45.0,True,False,False,N/A,N/A,44.6,87.5,34.7,34.7,Remained the Same,34.7,False,False,True,N/A,N/A,0,0.0,24.8,34.7,Increased,35.0,True,False,False,False,N/A,39.9,41.12903225806451,20,20,Remained the Same,25.0,True,False,False,N/A,N/A,0,25.0,46.1,54.5,Increased,54.0,True,False,False,N/A,N/A,18.2,17.13665943600867,46.1,46.4,Increased,52.0,True,False,False,N/A,False,0.7,12.798264642082428,46.4,54.8,Increased,54.0,True,False,False,N/A,False,18.1,16.379310344827587,20,16.9,Decreased,20.0,False,False,True,N/A,N/A,15.5,0.0,20,23.6,Increased,20.0,False,False,True,N/A,N/A,18,0.0,23.6,23.7,Increased,24.0,True,False,False,N/A,N/A,0.4,1.6949152542372818,13.4
28976644,simple,37.45,Yes,Yes,FIT5047 Fundamentals of Artificial Intelligence 2020,Neither,2.0,Yes,Yes,8,38,10,Decreased,38.0,False,False,True,N/A,N/A,73.7,0.0,40.4,18,Decreased,40.4,False,False,True,N/A,N/A,55.4,0.0,18,90,Increased,90.0,True,False,False,N/A,N/A,400,400.0,40.4,90,Increased,90.0,True,False,False,True,N/A,122.8,122.77227722772277,90,90,Remained the Same,90.0,False,False,True,N/A,N/A,0,0.0,20,52.9,Increased,30.0,True,False,False,N/A,N/A,164.5,50.0,20,63.6,Increased,22.0,True,False,False,N/A,False,218,10.0,63.6,88.7,Increased,80.0,True,False,False,N/A,N/A,39.5,25.78616352201258,22,10,Decreased,15.0,False,True,False,N/A,N/A,54.5,31.818181818181817,22,70,Increased,50.0,True,False,False,N/A,N/A,218.2,127.27272727272727,70,70,Remained the Same,70.0,False,False,True,N/A,N/A,0,0.0,41.8,70,Increased,70.0,True,False,False,True,N/A,67.5,67.4641148325359,20,20,Remained the Same,20.0,False,False,True,N/A,N/A,0,0.0,32,88,Increased,85.0,True,False,False,N/A,N/A,175,165.625,32,34,Increased,55.0,True,False,False,N/A,False,6.3,71.875,34,90,Increased,90.0,True,False,False,N/A,False,164.7,164.70588235294116,20,3.53,Decreased,18.0,False,True,False,N/A,N/A,82.4,10.0,20,55,Increased,85.0,True,False,False,N/A,N/A,175,325.0,55,66.7,Increased,80.0,True,False,False,N/A,N/A,21.3,45.45454545454545,15.8
25320354,medium,209.48333333333332,No,No,FIT5047 Fundamentals of Artificial Intelligence 2020,Netica,0.0,No,Yes,8,40.4,18,Decreased,40.0,False,True,False,N/A,N/A,55.4,0.9900990099009866,43.1,38.6,Decreased,50.0,True,False,False,N/A,N/A,10.4,16.009280742459392,38.6,55,Increased,40.0,True,False,False,N/A,N/A,42.5,3.626943005181343,43.1,55,Increased,50.0,True,False,False,False,N/A,27.6,16.009280742459392,55,55,Remained the Same,50.0,False,True,False,N/A,N/A,0,9.090909090909092,17,33.3,Increased,25.0,True,False,False,N/A,N/A,95.9,47.05882352941176,17,40,Increased,30.0,True,False,False,N/A,True,135.3,76.47058823529412,40,61.9,Increased,45.0,True,False,False,N/A,N/A,54.8,12.5,22.1,16,Decreased,10.0,False,True,False,N/A,N/A,27.6,54.75113122171946,22.1,52,Increased,35.0,True,False,False,N/A,N/A,135.3,58.37104072398189,52,52,Remained the Same,40.0,False,True,False,N/A,N/A,0,23.076923076923077,28,52,Increased,30.0,True,False,False,False,N/A,85.7,7.142857142857142,20,20,Remained the Same,20.0,False,False,True,N/A,N/A,0,0.0,37,65,Increased,40.0,True,False,False,N/A,N/A,75.7,8.108108108108109,37,38,Increased,40.0,True,False,False,N/A,False,2.7,8.108108108108109,38,66,Increased,45.0,True,False,False,N/A,True,73.7,18.421052631578945,20,11.1,Decreased,15.0,False,True,False,N/A,N/A,44.5,25.0,20,35.1,Increased,20.0,False,False,True,N/A,N/A,75.5,0.0,35.1,37,Increased,20.0,False,True,False,N/A,N/A,5.4,43.01994301994302,8.0
38624748,hard,32.68333333333333,Yes,Yes,FIT5047 Fundamentals of Artificial Intelligence 2020,Netica,2.0,No,Yes,7,43.1,38.6,Decreased,38.0,False,True,False,N/A,N/A,10.4,11.832946635730861,61.8,61.2,Decreased,61.8,False,False,True,N/A,N/A,1,0.0,61.2,70,Increased,61.2,False,False,True,N/A,N/A,14.4,0.0,61.8,70,Increased,61.2,False,True,False,True,N/A,13.3,0.9708737864077579,70,70,Remained the Same,64.0,False,True,False,N/A,N/A,0,8.571428571428571,17,23.2,Increased,17.0,False,False,True,N/A,N/A,36.5,0.0,17,24.6,Increased,17.0,False,False,True,N/A,False,44.7,0.0,24.6,32.5,Increased,25.0,True,False,False,N/A,N/A,32.1,1.6260162601625958,24,21.8,Decreased,11.0,False,True,False,N/A,N/A,9.2,54.166666666666664,24,34.7,Increased,23.0,False,True,False,N/A,N/A,44.6,4.166666666666666,34.7,34.7,Remained the Same,34.0,False,True,False,N/A,N/A,0,2.0172910662824286,24.8,34.7,Increased,23.0,False,True,False,False,N/A,39.9,7.258064516129036,20,20,Remained the Same,21.0,True,False,False,N/A,N/A,0,5.0,46.1,54.5,Increased,46.0,False,True,False,N/A,N/A,18.2,0.21691973969631545,46.1,46.4,Increased,44.0,False,True,False,N/A,False,0.7,4.555314533622563,46.4,54.8,Increased,44.0,False,True,False,N/A,True,18.1,5.172413793103446,20,16.9,Decreased,22.0,True,False,False,N/A,N/A,15.5,10.0,20,23.6,Increased,23.0,True,False,False,N/A,N/A,18,15.0,23.6,23.7,Increased,24.0,True,False,False,N/A,N/A,0.4,1.6949152542372818,16.8
46636100,simple,990.7666666666667,Yes,Yes,FIT5047 Fundamentals of Artificial Intelligence 2020,Other,1.0,Yes,Yes,8,38,10,Decreased,30.0,False,True,False,N/A,N/A,73.7,21.052631578947366,40.4,18,Decreased,5.0,False,True,False,N/A,N/A,55.4,87.62376237623762,18,90,Increased,20.0,True,False,False,N/A,N/A,400,11.11111111111111,40.4,90,Increased,50.0,True,False,False,False,N/A,122.8,23.762376237623766,90,90,Remained the Same,93.0,True,False,False,N/A,N/A,0,3.3333333333333335,20,52.9,Increased,60.0,True,False,False,N/A,N/A,164.5,200.0,20,63.6,Increased,50.0,True,False,False,N/A,False,218,150.0,63.6,88.7,Increased,80.0,True,False,False,N/A,N/A,39.5,25.78616352201258,22,10,Decreased,10.0,False,True,False,N/A,N/A,54.5,54.54545454545454,22,70,Increased,40.0,True,False,False,N/A,N/A,218.2,81.81818181818183,70,70,Remained the Same,60.0,False,True,False,N/A,N/A,0,14.285714285714285,41.8,70,Increased,55.0,True,False,False,False,N/A,67.5,31.578947368421062,20,20,Remained the Same,20.0,False,False,True,N/A,N/A,0,0.0,32,88,Increased,50.0,True,False,False,N/A,N/A,175,56.25,32,34,Increased,25.0,False,True,False,N/A,False,6.3,21.875,34,90,Increased,60.0,True,False,False,N/A,True,164.7,76.47058823529412,20,3.53,Decreased,15.0,False,True,False,N/A,N/A,82.4,25.0,20,55,Increased,81.0,True,False,False,N/A,N/A,175,305.0,55,66.7,Increased,65.0,True,False,False,N/A,N/A,21.3,18.181818181818183,17.0
28374827,hard,25.216666666666665,No,Yes,FIT5047 Fundamentals of Artificial Intelligence 2020,Netica,1.0,Yes,Yes,1,43.1,38.6,Decreased,90.0,True,False,False,N/A,N/A,10.4,108.8167053364269,61.8,61.2,Decreased,90.0,True,False,False,N/A,N/A,1,45.63106796116506,61.2,70,Increased,90.0,True,False,False,N/A,N/A,14.4,47.05882352941176,61.8,70,Increased,90.0,True,False,False,True,N/A,13.3,45.63106796116506,70,70,Remained the Same,65.0,False,True,False,N/A,N/A,0,7.142857142857142,17,23.2,Increased,66.0,True,False,False,N/A,N/A,36.5,288.2352941176471,17,24.6,Increased,55.0,True,False,False,N/A,False,44.7,223.52941176470588,24.6,32.5,Increased,53.0,True,False,False,N/A,N/A,32.1,115.4471544715447,24,21.8,Decreased,65.0,True,False,False,N/A,N/A,9.2,170.83333333333331,24,34.7,Increased,55.0,True,False,False,N/A,N/A,44.6,129.16666666666669,34.7,34.7,Remained the Same,49.0,True,False,False,N/A,N/A,0,41.21037463976944,24.8,34.7,Increased,48.0,True,False,False,False,N/A,39.9,93.54838709677419,20,20,Remained the Same,65.0,True,False,False,N/A,N/A,0,225.0,46.1,54.5,Increased,50.0,True,False,False,N/A,N/A,18.2,8.45986984815618,46.1,46.4,Increased,52.0,True,False,False,N/A,False,0.7,12.798264642082428,46.4,54.8,Increased,61.0,True,False,False,N/A,True,18.1,31.465517241379317,20,16.9,Decreased,47.0,True,False,False,N/A,N/A,15.5,135.0,20,23.6,Increased,44.0,True,False,False,N/A,N/A,18,120.0,23.6,23.7,Increased,66.0,True,False,False,N/A,N/A,0.4,179.66101694915253,14.2
73747508,simple,30.95,Yes,Yes,FIT3080 Intelligent Systems 2020,Neither,2.0,No,Yes,6,38,10,Decreased,10.0,False,True,False,N/A,N/A,73.7,73.68421052631578,40.4,18,Decreased,80.0,True,False,False,N/A,N/A,55.4,98.01980198019803,18,90,Increased,80.0,True,False,False,N/A,N/A,400,344.44444444444446,40.4,90,Increased,60.0,True,False,False,False,N/A,122.8,48.51485148514852,90,90,Remained the Same,80.0,False,True,False,N/A,N/A,0,11.11111111111111,20,52.9,Increased,0.26,False,True,False,N/A,N/A,164.5,98.69999999999999,20,63.6,Increased,0.12,False,True,False,N/A,True,218,99.4,63.6,88.7,Increased,60.0,False,True,False,N/A,N/A,39.5,5.660377358490568,22,10,Decreased,22.0,False,False,True,N/A,N/A,54.5,0.0,22,70,Increased,22.0,False,False,True,N/A,N/A,218.2,0.0,70,70,Remained the Same,70.0,False,False,True,N/A,N/A,0,0.0,41.8,70,Increased,40.0,False,True,False,False,N/A,67.5,4.3062200956937735,20,20,Remained the Same,15.0,False,True,False,N/A,N/A,0,25.0,32,88,Increased,30.0,False,True,False,N/A,N/A,175,6.25,32,34,Increased,32.0,False,False,True,N/A,False,6.3,0.0,34,90,Increased,31.0,False,True,False,N/A,True,164.7,8.823529411764707,20,3.53,Decreased,10.0,False,True,False,N/A,N/A,82.4,50.0,20,55,Increased,15.0,False,True,False,N/A,N/A,175,25.0,55,66.7,Increased,55.0,False,False,True,N/A,N/A,21.3,0.0,13.4
